ZIPCODE,Food Services and Drinking Places,Non-essential Retail,Personal Care Services,Our Industries,Total Industries,Not in Study
94945,58.0,9.0,18.0,112,744,632
94946,3.0,0.0,0.0,3,32,29
94947,42.0,4.0,9.0,64,470,406
94949,24.0,4.0,7.0,35,597,562
94954,65.0,3.5,13.5,99,1001,902
94960,35.0,3.75,12.0,74,499,425
94965,59.0,7.166666666666667,5.5,113,753,640
94970,3.0,0.0,0.0,3,30,27
95002,4.0,0.0,0.0,4,64,60
95035,294.0,18.125,42.0,523,2279,1756
95134,58.0,0.0,3.0,61,661,600
95476,47.0,7.5,13.0,180,1194,1014
95620,35.0,0.0,4.5,44,389,345
